student_id,batch,gender,branch,tenth_pct,twelfth_or_diploma_pct,cgpa,active_backlogs,backlog_history,coding_problems_solved,aptitude_score_pct,communication_score,projects_count,project_quality_score,internships_count,internship_months,certifications_count,hackathons_count,club_roles_count,github_public_repos,github_contributions_last_year,github_stars_count,linkedin_connections_count,linkedin_profile_score,placed
STU-1000,Batch 2024,Female,Computer Science,64.5,74.7,6.73,0,0,26,67.8,4.4,2,3.0,1,2,1,2,0,3,88,0,245,2.6,1
STU-1001,Batch 2025,Male,Computer Science,68.3,65.3,7.63,0,1,147,75.1,3.0,1,3.5,0,0,1,0,0,1,171,15,294,3.7,0
STU-1002,Batch 2025,Male,Computer Science,90.0,73.2,8.72,0,0,42,69.2,2.4,2,1.5,1,2,1,1,0,1,10,0,157,3.6,0
STU-1003,Batch 2024,Male,Computer Science,71.4,66.8,6.86,0,0,78,58.0,3.3,2,1.1,1,2,1,0,0,20,127,0,500,3.5,0
STU-1004,Batch 2023,Male,Computer Science,67.5,67.6,5.34,3,3,20,42.5,3.5,2,3.5,0,0,1,1,0,3,368,0,134,3.5,0
STU-1005,Batch 2023,Female,Information Tech,83.4,73.4,8.08,0,1,353,58.1,2.0,2,3.6,2,12,1,0,1,20,43,0,500,3.5,1
STU-1006,Batch 2023,Female,Computer Science,89.9,66.3,6.7,0,0,210,48.5,3.7,2,5.0,1,3,2,0,0,1,100,0,486,4.3,1
STU-1007,Batch 2025,Male,Information Tech,85.2,71.6,6.09,1,1,219,91.9,2.6,3,3.3,0,0,1,1,0,6,505,5,446,4.1,1
STU-1008,Batch 2024,Male,Information Tech,88.0,54.2,6.71,0,1,57,66.4,4.8,2,3.9,0,0,1,0,0,3,101,2,223,3.9,0
STU-1009,Batch 2025,Other,Electronics,70.4,77.3,7.2,0,0,158,63.2,3.8,1,3.0,2,4,2,1,0,6,80,5,368,1.2,1
STU-1010,Batch 2023,Male,Computer Science,63.8,75.0,6.73,0,0,17,80.4,3.1,1,3.5,1,2,1,1,0,6,105,5,141,3.8,0
